Time,EPU,CPI, INF_MoM ,EPU_MoM
2/1/2000,15.9,64.4213625732353,,
3/1/2000,46.5,63.5266217334296,-0.013889,1.922063
4/1/2000,28.3,63.1524644565516,-0.00589,-0.391554
5/1/2000,31.4,62.7749159306935,-0.005978,0.110202
6/1/2000,43.2,62.2051128323739,-0.009077,0.375498
7/1/2000,42.7,61.8331081679979,-0.00598,-0.01295
8/1/2000,27.4,62.2013514452112,0.005955,-0.357818
9/1/2000,31.5,63.4522277485408,0.02011,0.149789
10/1/2000,42.3,63.4520376263685,-0.000003,0.34248
11/1/2000,10.1,63.6427118477502,0.003005,-0.760894
12/1/2000,48.5,63.7063547711957,0.000026,3.794091
1/1/2001,52.6,64.3570059020998,0.010213,0.085694
2/1/2001,40.7,64.4213625732353,0.001,-0.226237
3/1/2001,58.2,64.0348347224563,-0.006,0.428331
4/1/2001,26.1,64.1629044285361,0.002,-0.551236
5/1/2001,27.7,63.8420893695035,-0.005,0.062809
6/1/2001,41.3,63.0759848124838,-0.012,0.487015
7/1/2001,30.3,62.7606043420570,-0.005,-0.264651
8/1/2001,38.8,62.8233655028696,0.001,0.278427
9/1/2001,43.5,63.3887755789027,0.009,0.121469
10/1/2001,51.1,63.5789419656448,0.003,0.174936
11/1/2001,53.3,63.4517837090488,-0.002,0.042759
12/1/2001,60.7,63.5152358786868,0.001,0.139187
1/1/2002,62.4,63.7057812465032,0.003,0.027698
2/1/2002,40.9,64.4065450448646,0.011,-0.34452
3/1/2002,54.1,63.5692602624662,-0.013,0.323881
4/1/2002,45.9,63.3785519327878,-0.003,-0.152535
5/1/2002,47,63.1884164961669,-0.003,0.024164
6/1/2002,30.4,62.6197206542194,-0.009,-0.353686
7/1/2002,54.3,62.1813829324054,-0.007,0.789591
8/1/2002,44.1,62.3679268917120,0.003,-0.1879
9/1/2002,55.5,62.9916059395569,0.01,0.257024
10/1/2002,56.7,63.1175893548225,0.002,0.021392
11/1/2002,59.9,63.0544719518000,-0.001,0.056681
12/1/2002,91,63.2436353019654,0.003,0.5201
1/1/2003,46.2,63.9393150692147,0.011,-0.492673
2/1/2003,28,64.5147687753524,0.009,-0.39382
3/1/2003,71.2,64.1276806642186,-0.006,1.542749
4/1/2003,101.6,63.9994252574124,-0.002,0.427064
5/1/2003,68.8,63.5514292029194,-0.007,-0.322324
6/1/2003,55,62.7888119034185,-0.012,-0.201208
7/1/2003,85.3,62.4748677712634,-0.005,0.552057
8/1/2003,61.1,62.9121917187036,0.007,-0.284011
