Time,CPI,EPU,INF_MoM,EPU_MoM
1/1/2000,80.63 ,99.96 ,,
1/1/2001,80.16 ,82.91 , -0.005829 , -0.170581 
2/1/2001,80.28 ,102.49 , 0.001497 , 0.236263 
3/1/2001,80.71 ,108.43 , 0.005356 , 0.057941 
4/1/2001,81.10 ,97.06 , 0.004832 , -0.104910 
5/1/2001,81.20 ,75.27 , 0.001233 , -0.224504 
6/1/2001,81.35 ,80.03 , 0.001847 , 0.063271 
7/1/2001,81.32 ,98.43 , -0.000369 , 0.229965 
8/1/2001,81.41 ,73.70 , 0.001107 , -0.251234 
9/1/2001,81.61 ,215.05 , 0.002457 , 1.917791 
10/1/2001,81.87 ,204.66 , 0.003186 , -0.048338 
11/1/2001,81.96 ,165.27 , 0.001099 , -0.192441 
12/1/2001,82.46 ,111.51 , 0.006101 , -0.325317 
1/1/2002,82.09 ,105.64 , -0.004487 , -0.052643 
2/1/2002,82.29 ,101.53 , 0.002436 , -0.038858 
3/1/2002,82.78 ,85.99 , 0.005955 , -0.153080 
4/1/2002,83.04 ,108.54 , 0.003141 , 0.262243 
5/1/2002,83.27 ,99.75 , 0.002770 , -0.080933 
6/1/2002,83.36 ,140.04 , 0.001081 , 0.403848 
7/1/2002,83.30 ,127.36 , -0.000720 , -0.090573 
8/1/2002,83.38 ,130.80 , 0.000960 , 0.027012 
9/1/2002,83.56 ,178.16 , 0.002159 , 0.362133 
10/1/2002,83.76 ,160.96 , 0.002393 , -0.096550 
11/1/2002,83.85 ,155.95 , 0.001074 , -0.031149 
12/1/2002,84.28 ,138.57 , 0.005128 , -0.111453 
1/1/2003,83.64 ,157.28 , -0.007594 , 0.135071 
2/1/2003,83.85 ,226.03 , 0.002511 , 0.437080 
3/1/2003,84.33 ,251.23 , 0.005725 , 0.111516 
4/1/2003,84.70 ,206.60 , 0.004388 , -0.177654 
5/1/2003,84.79 ,143.95 , 0.001063 , -0.303251 
6/1/2003,84.88 ,100.44 , 0.001061 , -0.302257 
7/1/2003,84.68 ,94.04 , -0.002356 , -0.063684 
8/1/2003,84.79 ,70.62 , 0.001299 , -0.249092 
9/1/2003,85.06 ,93.32 , 0.003184 , 0.321505 
10/1/2003,85.24 ,91.97 , 0.002116 , -0.014502 
11/1/2003,85.26 ,91.81 , 0.000235 , -0.001663 
12/1/2003,85.64 ,82.69 , 0.004457 , -0.099432 
1/1/2004,85.08 ,75.34 , -0.006539 , -0.088830 
2/1/2004,85.39 ,77.00 , 0.003644 , 0.022001 
3/1/2004,85.83 ,125.02 , 0.005153 , 0.623695 
4/1/2004,86.26 ,109.84 , 0.005010 , -0.121448 
5/1/2004,86.36 ,114.85 , 0.001159 , 0.045629 
6/1/2004,86.49 ,99.85 , 0.001505 , -0.130645 
7/1/2004,86.25 ,115.93 , -0.002775 , 0.161050 
8/1/2004,86.44 ,77.34 , 0.002203 , -0.332826 
9/1/2004,86.64 ,89.60 , 0.002314 , 0.158443 
10/1/2004,86.83 ,120.00 , 0.002193 , 0.339350 
11/1/2004,86.87 ,127.94 , 0.000461 , 0.066140 
12/1/2004,87.27 ,83.33 , 0.004605 , -0.348632 
1/1/2005,86.44 ,58.95 , -0.009511 , -0.292654 
2/1/2005,86.63 ,74.98 , 0.002198 , 0.271949 
3/1/2005,87.19 ,81.45 , 0.006464 , 0.086396 
4/1/2005,87.46 ,89.08 , 0.003097 , 0.093597 
5/1/2005,87.71 ,99.44 , 0.002858 , 0.116327 
6/1/2005,87.70 ,99.41 , -0.000114 , -0.000261 
7/1/2005,87.37 ,85.08 , -0.003763 , -0.144155 
8/1/2005,87.54 ,82.83 , 0.001946 , -0.026449 
9/1/2005,87.78 ,160.47 , 0.002742 , 0.937306 
10/1/2005,88.03 ,71.52 , 0.002848 , -0.554327 
11/1/2005,88.06 ,95.45 , 0.000341 , 0.334580 
12/1/2005,88.45 ,61.48 , 0.004429 , -0.355913 
1/1/2006,87.50 ,83.96 , -0.010741 , 0.365741 
2/1/2006,87.72 ,60.63 , 0.002514 , -0.277831 
3/1/2006,88.34 ,79.83 , 0.007068 , 0.316584 
4/1/2006,88.78 ,89.04 , 0.004981 , 0.115416 
5/1/2006,88.90 ,82.45 , 0.001352 , -0.074103 
6/1/2006,88.98 ,89.85 , 0.000900 , 0.089834 
7/1/2006,88.65 ,82.00 , -0.003709 , -0.087335 
8/1/2006,88.75 ,58.87 , 0.001128 , -0.282153 
9/1/2006,89.09 ,76.83 , 0.003831 , 0.305149 
10/1/2006,89.38 ,71.22 , 0.003255 , -0.072991 
11/1/2006,89.42 ,73.85 , 0.000448 , 0.036833 
12/1/2006,89.83 ,74.92 , 0.004585 , 0.014529 
1/1/2007,89.02 ,62.34 , -0.009017 , -0.167906 
2/1/2007,89.37 ,58.52 , 0.003932 , -0.061293 
3/1/2007,90.00 ,71.12 , 0.007049 , 0.215295 
4/1/2007,90.48 ,65.17 , 0.005333 , -0.083682 
5/1/2007,90.64 ,54.99 , 0.001768 , -0.156096 
6/1/2007,90.68 ,60.85 , 0.000441 , 0.106427 
7/1/2007,90.33 ,47.69 , -0.003860 , -0.216180 
8/1/2007,90.47 ,94.66 , 0.001550 , 0.984865 
9/1/2007,90.75 ,166.73 , 0.003095 , 0.761337 
10/1/2007,91.07 ,96.88 , 0.003526 , -0.418949 
11/1/2007,91.14 ,97.74 , 0.000769 , 0.008845 
12/1/2007,91.56 ,98.01 , 0.004608 , 0.002838 
1/1/2008,90.60 ,160.26 , -0.010485 , 0.635051 
2/1/2008,90.98 ,128.78 , 0.004194 , -0.196398 
3/1/2008,91.84 ,139.87 , 0.009453 , 0.086083 
4/1/2008,92.01 ,96.75 , 0.001851 , -0.308307 
5/1/2008,92.25 ,76.82 , 0.002608 , -0.205939 
6/1/2008,92.34 ,106.43 , 0.000976 , 0.385356 
7/1/2008,91.91 ,87.93 , -0.004657 , -0.173778 
8/1/2008,92.22 ,92.30 , 0.003373 , 0.049622 
9/1/2008,92.50 ,156.04 , 0.003036 , 0.690678 
10/1/2008,92.87 ,216.59 , 0.004000 , 0.388022 
11/1/2008,92.90 ,156.77 , 0.000323 , -0.276175 
12/1/2008,93.28 ,136.78 , 0.004090 , -0.127507 
1/1/2009,92.08 ,159.99 , -0.012864 , 0.169678 
2/1/2009,92.54 ,139.70 , 0.004996 , -0.126860 
3/1/2009,93.20 ,133.46 , 0.007132 , -0.044641 
4/1/2009,93.65 ,120.00 , 0.004828 , -0.100865 
5/1/2009,93.69 ,122.96 , 0.000427 , 0.024674 
6/1/2009,93.65 ,113.24 , -0.000427 , -0.079060 
7/1/2009,93.12 ,95.95 , -0.005659 , -0.152692 
8/1/2009,93.43 ,91.38 , 0.003329 , -0.047638 
9/1/2009,93.62 ,104.32 , 0.002034 , 0.141678 
10/1/2009,93.94 ,105.04 , 0.003418 , 0.006868 
11/1/2009,93.86 ,133.01 , -0.000852 , 0.266254 
12/1/2009,94.30 ,115.26 , 0.004688 , -0.133413 
1/1/2010,92.81 ,142.00 , -0.015801 , 0.232000 
2/1/2010,93.21 ,136.74 , 0.004310 , -0.037073 
3/1/2010,94.25 ,137.84 , 0.011158 , 0.008039 
4/1/2010,94.44 ,152.78 , 0.002016 , 0.108433 
5/1/2010,94.54 ,203.31 , 0.001059 , 0.330667 
6/1/2010,94.57 ,171.40 , 0.000317 , -0.156920 
7/1/2010,94.01 ,186.56 , -0.005922 , 0.088403 
8/1/2010,94.32 ,172.82 , 0.003298 , -0.073647 
9/1/2010,94.71 ,161.69 , 0.004135 , -0.064380 
10/1/2010,94.99 ,186.14 , 0.002956 , 0.151221 
11/1/2010,94.90 ,172.69 , -0.000947 , -0.072273 
12/1/2010,95.27 ,183.08 , 0.003899 , 0.060154 
1/1/2011,93.78 ,143.03 , -0.015640 , -0.218730 
2/1/2011,94.11 ,122.45 , 0.003519 , -0.143926 
3/1/2011,95.45 ,154.40 , 0.014239 , 0.260979 
4/1/2011,95.94 ,145.51 , 0.005134 , -0.057596 
5/1/2011,95.92 ,134.22 , -0.000208 , -0.077614 
6/1/2011,96.01 ,168.30 , 0.000938 , 0.253927 
7/1/2011,95.13 ,183.40 , -0.009166 , 0.089761 
8/1/2011,95.44 ,230.30 , 0.003259 , 0.255703 
9/1/2011,96.23 ,280.06 , 0.008277 , 0.216064 
10/1/2011,96.49 ,241.75 , 0.002702 , -0.136780 
11/1/2011,96.40 ,304.60 , -0.000933 , 0.259971 
12/1/2011,96.81 ,228.87 , 0.004253 , -0.248616 
1/1/2012,95.20 ,216.73 , -0.016631 , -0.053030 
2/1/2012,95.53 ,193.44 , 0.003466 , -0.107459 
3/1/2012,96.98 ,177.49 , 0.015178 , -0.082461 
4/1/2012,97.44 ,217.00 , 0.004743 , 0.222562 
5/1/2012,97.43 ,234.76 , -0.000103 , 0.081845 
6/1/2012,97.50 ,244.50 , 0.000718 , 0.041517 
7/1/2012,96.74 ,206.98 , -0.007795 , -0.153457 
8/1/2012,96.90 ,150.68 , 0.001654 , -0.272026 
9/1/2012,97.68 ,209.91 , 0.008050 , 0.393124 
10/1/2012,97.91 ,219.08 , 0.002355 , 0.043688 
11/1/2012,97.76 ,233.56 , -0.001532 , 0.066088 
12/1/2012,98.26 ,215.67 , 0.005115 , -0.076609 
1/1/2013,96.47 ,239.82 , -0.018217 , 0.111963 
2/1/2013,96.77 ,194.17 , 0.003110 , -0.190352 
3/1/2013,98.42 ,245.35 , 0.017051 , 0.263593 
4/1/2013,98.40 ,205.62 , -0.000203 , -0.161905 
5/1/2013,98.59 ,139.14 , 0.001931 , -0.323337 
6/1/2013,98.63 ,177.53 , 0.000406 , 0.275959 
7/1/2013,97.79 ,166.71 , -0.008517 , -0.060957 
8/1/2013,97.96 ,146.04 , 0.001738 , -0.124003 
9/1/2013,98.67 ,179.71 , 0.007248 , 0.230523 
10/1/2013,98.72 ,210.53 , 0.000507 , 0.171504 
11/1/2013,98.69 ,156.71 , -0.000304 , -0.255648 
12/1/2013,98.96 ,158.00 , 0.002736 , 0.008255 
1/1/2014,97.25 ,154.50 , -0.017280 , -0.022128 
2/1/2014,97.71 ,148.44 , 0.004730 , -0.039260 
3/1/2014,99.12 ,156.84 , 0.014430 , 0.056636 
4/1/2014,99.37 ,116.49 , 0.002522 , -0.257314 
5/1/2014,99.25 ,146.29 , -0.001208 , 0.255881 
6/1/2014,99.38 ,111.80 , 0.001310 , -0.235801 
7/1/2014,98.56 ,119.93 , -0.008251 , 0.072792 
