Year,Month,Time,EPUUS_index, CPI , INFMoM ,EPUMoM
1990,1,1/1/1990,92.32 ,127.50 , 0.00353 , 0.15439 
1990,2,1/2/1990,110.45 ,128.00 , 0.00392 , 0.19632 
1990,3,1/3/1990,104.46 ,128.60 , 0.00469 , -0.05419 
1990,4,1/4/1990,88.45 ,128.90 , 0.00233 , -0.15329 
1990,5,1/5/1990,97.39 ,129.10 , 0.00155 , 0.10107 
1990,6,1/6/1990,100.86 ,129.90 , 0.00620 , 0.03570 
1990,7,1/7/1990,86.28 ,130.50 , 0.00462 , -0.14459 
1990,8,1/8/1990,139.32 ,131.60 , 0.00843 , 0.61477 
1990,9,1/9/1990,165.94 ,132.50 , 0.00684 , 0.19104 
1990,10,1/10/1990,137.67 ,133.40 , 0.00679 , -0.17033 
1990,11,1/11/1990,152.45 ,133.70 , 0.00225 , 0.10731 
1990,12,1/12/1990,134.06 ,134.20 , 0.00374 , -0.12061 
1991,1,1/1/1991,204.01 ,134.70 , 0.00373 , 0.52177 
1991,2,1/2/1991,106.52 ,134.80 , 0.00074 , -0.47788 
1991,3,1/3/1991,107.94 ,134.80 ,0.00 , 0.01333 
1991,4,1/4/1991,93.01 ,135.10 , 0.00223 , -0.13825 
1991,5,1/5/1991,82.15 ,135.60 , 0.00370 , -0.11683 
1991,6,1/6/1991,85.92 ,136.00 , 0.00295 , 0.04591 
1991,7,1/7/1991,80.65 ,136.20 , 0.00147 , -0.06134 
1991,8,1/8/1991,99.12 ,136.60 , 0.00294 , 0.22906 
1991,9,1/9/1991,127.29 ,137.00 , 0.00293 , 0.28422 
1991,10,1/10/1991,108.12 ,137.20 , 0.00146 , -0.15062 
1991,11,1/11/1991,140.61 ,137.80 , 0.00437 , 0.30051 
1991,12,1/12/1991,171.01 ,138.20 , 0.00290 , 0.21619 
1992,1,1/1/1992,116.36 ,138.30 , 0.00072 , -0.31955 
1992,2,1/2/1992,154.60 ,138.60 , 0.00217 , 0.32855 
1992,3,1/3/1992,96.83 ,139.10 , 0.00361 , -0.37367 
1992,4,1/4/1992,89.85 ,139.40 , 0.00216 , -0.07203 
1992,5,1/5/1992,78.68 ,139.70 , 0.00215 , -0.12435 
1992,6,1/6/1992,122.29 ,140.10 , 0.00286 , 0.55431 
1992,7,1/7/1992,119.61 ,140.50 , 0.00286 , -0.02192 
1992,8,1/8/1992,122.41 ,140.80 , 0.00214 , 0.02336 
1992,9,1/9/1992,141.44 ,141.10 , 0.00213 , 0.15552 
1992,10,1/10/1992,161.25 ,141.70 , 0.00425 , 0.14006 
1992,11,1/11/1992,108.15 ,142.10 , 0.00282 , -0.32932 
1992,12,1/12/1992,87.87 ,142.30 , 0.00141 , -0.18750 
1993,1,1/1/1993,83.46 ,142.80 , 0.00351 , -0.05015 
1993,2,1/2/1993,106.98 ,143.10 , 0.00210 , 0.28169 
1993,3,1/3/1993,109.80 ,143.30 , 0.00140 , 0.02637 
1993,4,1/4/1993,89.65 ,143.80 , 0.00349 , -0.18348 
1993,5,1/5/1993,133.51 ,144.20 , 0.00278 , 0.48917 
1993,6,1/6/1993,120.68 ,144.30 , 0.00069 , -0.09607 
1993,7,1/7/1993,106.50 ,144.50 , 0.00139 , -0.11748 
1993,8,1/8/1993,115.58 ,144.80 , 0.00208 , 0.08519 
1993,9,1/9/1993,116.03 ,145.00 , 0.00138 , 0.00390 
1993,10,1/10/1993,78.82 ,145.60 , 0.00414 , -0.32066 
1993,11,1/11/1993,89.26 ,146.00 , 0.00275 , 0.13239 
1993,12,1/12/1993,77.27 ,146.30 , 0.00206 , -0.13428 
1994,1,1/1/1994,82.29 ,146.30 ,0.00 , 0.06498 
1994,2,1/2/1994,96.15 ,146.70 , 0.00273 , 0.16834 
1994,3,1/3/1994,83.23 ,147.10 , 0.00273 , -0.13437 
1994,4,1/4/1994,106.35 ,147.20 , 0.00068 , 0.27789 
1994,5,1/5/1994,94.50 ,147.50 , 0.00204 , -0.11143 
1994,6,1/6/1994,87.47 ,147.90 , 0.00271 , -0.07444 
1994,7,1/7/1994,75.43 ,148.40 , 0.00338 , -0.13761 
1994,8,1/8/1994,89.00 ,149.00 , 0.00404 , 0.17983 
1994,9,1/9/1994,85.29 ,149.30 , 0.00201 , -0.04162 
1994,10,1/10/1994,61.69 ,149.40 , 0.00067 , -0.27678 
1994,11,1/11/1994,94.69 ,149.80 , 0.00268 , 0.53498 
1994,12,1/12/1994,94.76 ,150.10 , 0.00200 , 0.00080 
1995,1,1/1/1995,122.41 ,150.50 , 0.00267 , 0.29171 
1995,2,1/2/1995,100.52 ,150.90 , 0.00266 , -0.17884 
1995,3,1/3/1995,86.49 ,151.20 , 0.00199 , -0.13957 
1995,4,1/4/1995,66.00 ,151.80 , 0.00397 , -0.23692 
1995,5,1/5/1995,67.30 ,152.10 , 0.00198 , 0.01979 
1995,6,1/6/1995,75.82 ,152.40 , 0.00197 , 0.12662 
1995,7,1/7/1995,81.65 ,152.60 , 0.00131 , 0.07688 
1995,8,1/8/1995,55.89 ,152.90 , 0.00197 , -0.31554 
1995,9,1/9/1995,70.38 ,153.10 , 0.00131 , 0.25932 
1995,10,1/10/1995,79.91 ,153.50 , 0.00261 , 0.13533 
1995,11,1/11/1995,101.20 ,153.70 , 0.00130 , 0.26650 
1995,12,1/12/1995,90.67 ,153.90 , 0.00130 , -0.10405 
1996,1,1/1/1996,101.58 ,154.70 , 0.00520 , 0.12030 
1996,2,1/2/1996,82.02 ,155.00 , 0.00194 , -0.19253 
1996,3,1/3/1996,76.63 ,155.50 , 0.00323 , -0.06573 
1996,4,1/4/1996,70.88 ,156.10 , 0.00386 , -0.07503 
1996,5,1/5/1996,62.11 ,156.40 , 0.00192 , -0.12375 
1996,6,1/6/1996,82.24 ,156.70 , 0.00192 , 0.32416 
1996,7,1/7/1996,69.69 ,157.00 , 0.00191 , -0.15259 
1996,8,1/8/1996,88.65 ,157.20 , 0.00127 , 0.27196 
1996,9,1/9/1996,78.98 ,157.70 , 0.00318 , -0.10905 
1996,10,1/10/1996,55.67 ,158.20 , 0.00317 , -0.29514 
1996,11,1/11/1996,74.37 ,158.70 , 0.00316 , 0.33592 
1996,12,1/12/1996,67.17 ,159.10 , 0.00252 , -0.09678 
1997,1,1/1/1997,75.45 ,159.40 , 0.00189 , 0.12315 
1997,2,1/2/1997,92.09 ,159.70 , 0.00188 , 0.22057 
1997,3,1/3/1997,70.45 ,159.80 , 0.00063 , -0.23493 
1997,4,1/4/1997,71.10 ,159.90 , 0.00063 , 0.00925 
1997,5,1/5/1997,75.87 ,159.90 ,0.00 , 0.06702 
1997,6,1/6/1997,84.48 ,160.20 , 0.00188 , 0.11347 
1997,7,1/7/1997,76.71 ,160.40 , 0.00125 , -0.09200 
1997,8,1/8/1997,58.92 ,160.80 , 0.00249 , -0.23194 
1997,9,1/9/1997,54.41 ,161.20 , 0.00249 , -0.07639 
1997,10,1/10/1997,92.93 ,161.50 , 0.00186 , 0.70782 
1997,11,1/11/1997,85.98 ,161.70 , 0.00124 , -0.07475 
1997,12,1/12/1997,103.70 ,161.80 , 0.00062 , 0.20605 
1998,1,1/1/1998,107.95 ,162.00 , 0.00124 , 0.04103 
1998,2,1/2/1998,101.15 ,162.00 ,0.00 , -0.06303 
1998,3,1/3/1998,83.35 ,162.00 ,0.00 , -0.17600 
1998,4,1/4/1998,74.46 ,162.20 , 0.00124 , -0.10667 
1998,5,1/5/1998,80.13 ,162.60 , 0.00247 , 0.07615 
1998,6,1/6/1998,80.89 ,162.80 , 0.00123 , 0.00949 
1998,7,1/7/1998,101.42 ,163.20 , 0.00246 , 0.25382 
1998,8,1/8/1998,130.47 ,163.40 , 0.00123 , 0.28642 
1998,9,1/9/1998,169.04 ,163.50 , 0.00061 , 0.29563 
1998,10,1/10/1998,145.02 ,163.90 , 0.00245 , -0.14206 
1998,11,1/11/1998,113.50 ,164.10 , 0.00122 , -0.21733 
1998,12,1/12/1998,110.89 ,164.40 , 0.00183 , -0.02299 
1999,1,1/1/1999,123.32 ,164.70 , 0.00183 , 0.11207 
1999,2,1/2/1999,95.00 ,164.70 ,0.00 , -0.22969 
1999,3,1/3/1999,67.03 ,164.80 , 0.00061 , -0.29442 
1999,4,1/4/1999,69.79 ,165.90 , 0.00668 , 0.04118 
1999,5,1/5/1999,64.78 ,166.00 , 0.00060 , -0.07181 
1999,6,1/6/1999,74.93 ,166.00 ,0.00 , 0.15668 
1999,7,1/7/1999,86.53 ,166.70 , 0.00422 , 0.15488 
1999,8,1/8/1999,77.03 ,167.10 , 0.00240 , -0.10984 
1999,9,1/9/1999,77.50 ,167.80 , 0.00419 , 0.00614 
1999,10,1/10/1999,65.34 ,168.10 , 0.00179 , -0.15692 
1999,11,1/11/1999,76.32 ,168.40 , 0.00179 , 0.16805 
1999,12,1/12/1999,79.32 ,168.80 , 0.00238 , 0.03938 
2000,1,1/1/2000,88.99 ,169.30 , 0.00296 , 0.12186 
2000,2,1/2/2000,73.37 ,170.00 , 0.00414 , -0.17557 
2000,3,1/3/2000,73.30 ,171.00 , 0.00588 , -0.00091 
2000,4,1/4/2000,70.60 ,170.90 , -0.00059 , -0.03682 
2000,5,1/5/2000,118.14 ,171.20 , 0.00176 , 0.67342 
2000,6,1/6/2000,109.58 ,172.20 , 0.00584 , -0.07245 
2000,7,1/7/2000,86.66 ,172.70 , 0.00290 , -0.20921 
2000,8,1/8/2000,58.91 ,172.70 ,0.00 , -0.32025 
2000,9,1/9/2000,73.55 ,173.60 , 0.00521 , 0.24861 
2000,10,1/10/2000,89.91 ,173.90 , 0.00173 , 0.22246 
2000,11,1/11/2000,166.18 ,174.20 , 0.00173 , 0.84827 
2000,12,1/12/2000,149.45 ,174.60 , 0.00230 , -0.10071 
2001,1,1/1/2001,142.61 ,175.60 , 0.00573 , -0.04573 
2001,2,1/2/2001,128.63 ,176.00 , 0.00228 , -0.09809 
2001,3,1/3/2001,137.37 ,176.10 , 0.00057 , 0.06802 
